CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL;CRÉDITOS;RECOMENDAÇÕES;CATEGORIA
BCM0506-15;Comunicação e Redes;3;0;4;3;Processamento da Informação;OB
ESTI015-17;Comunicações Móveis;3;1;4;4;"Comunicação Digital; Ondas eletromagnéticas Aplicadas";OB
ESTI010-17;Comunicações Ópticas;3;1;4;4;Fundamentos de Fotônica;OB
ESTA001-17;Dispositivos Eletrônicos;3;2;4;5;Circuitos Elétricos e Fotônica ou Circuitos Elétricos I;OB
ESTA007-17;Eletrônica Analógica Aplicada;3;2;4;5;Dispositivos Eletrônicos;OB
ESTI002-17;Eletrônica Digital;4;2;4;6;Circuitos Elétricos e Fotônica ou Circuitos Elétricos I;OB
ESZI026-17;Engenharia de Sistemas de Comunicação e Missão Crítica;2;2;4;4;Programação Estruturada;OB
MCTA010-13;Engenharia de Software;4;0;4;4;Processamento da Informação;OB
ESTO013-17;Engenharia Econômica;4;0;4;4;Funções de Uma Variável;OB
ESTO902-17;Engenharia Unificada I;0;2;5;2;Não há;OB
ESTO903-17;Engenharia Unificada II;0;2;5;2;REQUISITO: Engenharia Unificada I;OB
